Removed Pin From Net: NetName=VCC Pin=C1-1
Removed Pin From Net: NetName=GND Pin=C1-2
Removed Pin From Net: NetName=+5 Pin=C2-1
Removed Pin From Net: NetName=GND Pin=C2-2
Removed Pin From Net: NetName=GND Pin=C3-2
Removed Pin From Net: NetName=GND Pin=C7-1
Change Component Footprint: Designator=C4 Old Footprint=RAD-0.3 New Footprint=KEMT-C330C105M5U5TA
Change Component Footprint: Designator=C5 Old Footprint=RAD-0.3 New Footprint=KEMT-C330C105M5U5TA
Change Component Footprint: Designator=C7 Old Footprint=RAD-0.3 New Footprint=KEMT-C330C105M5U5TA
Change Component Footprint: Designator=C1 Old Footprint=RB7.6-15 New Footprint=RAD-0.3
Change Component Footprint: Designator=C2 Old Footprint=RB7.6-15 New Footprint=RAD-0.3
Change Component Footprint: Designator=C3 Old Footprint=RB7.6-15 New Footprint=RAD-0.3
Change Component Comment : Designator=C7 Old Comment=22pF New Comment=C330C105M5U5TA
Change Component Comment : Designator=C2 Old Comment=100nF New Comment=330uF
Change Component Comment : Designator=C4 Old Comment=100nF New Comment==value
Change Component Comment : Designator=C5 Old Comment=100nF New Comment=C330C105M5U5TA
Change Component Comment : Designator=C1 Old Comment=330nF New Comment=330uF
Change Component Comment : Designator=C3 Old Comment=Cap Pol1 New Comment=330uF
Change Managed Component Library Link : Designator=C4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=D652E576-372E-4A85-B7A7-1910E732850E Old RevisionGUID= New RevisionGUID=18919CE3-98EE-438B-A15F-BC419E4D321A
Change Managed Component Library Link : Designator=C5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=D652E576-372E-4A85-B7A7-1910E732850E Old RevisionGUID= New RevisionGUID=18919CE3-98EE-438B-A15F-BC419E4D321A
Change Managed Component Library Link : Designator=C7 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=D652E576-372E-4A85-B7A7-1910E732850E Old RevisionGUID= New RevisionGUID=18919CE3-98EE-438B-A15F-BC419E4D321A
Change component parameters: Designator = "C6" ("C6"); Footprint = "KEMT-C330C105M5U5TA"; UniqueID = "\NXPZSHDC" ("\NXPZSHDC")
Change component parameters (AddParameter): Name = "Applications"; Value = "GeneralPurpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "22pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Catalog Drawings"; Value = "C330(std)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://www.kemet.com/Lists/ProductCatalog/Attachments/599/KEM_C1051_GOLDMAX_Z5U.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "12/2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "CeramicCapacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.360"(9.14mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Spacing"; Value = "0.200"(5.08mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Style"; Value = "Straight"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.kemet.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "ThroughHole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "ThroughHole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Online Catalog"; Value = "GoldenMax™Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "10°C~85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Other Names"; Value = "399-4390"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "Radial"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Through Hole Device, Body 7.11 x 4.07 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "C330C105M5U5TA"; VariantName = "[No Variations]"
